id;datumeinde;datumstart;datumvaststelling;omschrijving;status
1;amongst;superior engross justly;generally palm upwardly;usefully patiently unlike;about biodegradable 
2;in well-worn excluding;boost loose spell;wherever;amongst angelic bah;before hurricane
3;refuse;gadzooks atop aw;whoever wiry;plunge eaglet overconfidently;hm designate anxious
4;import;unless among;until tarnish terribly;viciously ferociously disburse;nervously
5;hence pavilion great;yearly savage bronco;revive;debar huzzah;cautiously chocolate
6;oily unfortunately;boohoo;chip capital;boastfully recreation;fickle mid steep
7;vaguely razz;glug proponent;likewise sphynx package;giddy;and
8;mantle until;more gah;yowza exhibit circa;flash;yippee
9;short-term blood after;defensive steep profuse;weakly pig;essential;lest
10;possession riposte whether;terribly;woot mate;seaweed computerise;however sweetly next
