id;codesoortgrootte;datumbegingeldigheidsoortgrootte;datumeindegeldigheidsoortgrootte;naamsoortgrootte
1;spite zowie;2024-05-06;2024-05-06;oof proceed
2;gadzooks battalion;2024-05-05;2024-05-05;since
3;since apud with;2024-05-05;2024-05-05;frequent wordy round
4;beneath;2024-05-06;2024-05-06;yowza eek boo
5;dearly searchingly tuna;2024-05-06;2024-05-06;if shakily
6;colorful desensitise;2024-05-05;2024-05-06;regarding arrange busily
7;decisive knowingly;2024-05-06;2024-05-06;as
8;atelier debrief;2024-05-05;2024-05-05;following shoehorn
9;award;2024-05-06;2024-05-06;ack
10;unlucky;2024-05-05;2024-05-06;barring nor
