id;datumbegingeldigheidsoortobjectcode;datumeindegeldigheidsoortobjectcode;naamsoortobjectcode;opmerkingensoortobjectcode;soortobjectcode
1;2024-05-05;2024-05-05;lest;that scanner;from excepting bog
2;2024-05-05;2024-05-06;rainy;demolish comestible beard;bonnet
3;2024-05-06;2024-05-05;carelessly ha muddy;ah aside;or
4;2024-05-06;2024-05-05;amused;gracious boohoo;bellow
5;2024-05-06;2024-05-06;partially oof spawn;pish;win loan needily
6;2024-05-06;2024-05-06;whether gallivant;above scroll;for
7;2024-05-05;2024-05-06;cruel protect;capital frilly tiptoe;qua amongst
8;2024-05-05;2024-05-05;eek ginseng;knowing;along though excluding
9;2024-05-05;2024-05-05;barring shop if;suffocation disillusion contribute;easily failing
10;2024-05-06;2024-05-05;yellowish;even;toe exactly mmm
