id;jaarherinrichting;speelterreinleeftijddoelgroep;type;typeplus
1;knavishly;duh flat;deeply pish;or
2;blindly;someplace equation;openly federate;red merrily spotless
3;barring;profuse lashes;finally;an
4;eek against inconsequential;ugh absent forearm;leer scarf;plus
5;hospitalization;after;light espadrille;lest feisty author
6;leprosy early exciting;crop;woot;gently worker
7;since;yahoo unity;hype bacterium;enchanting
8;wherever cache;hat;yahoo;headline
9;sedately inasmuch;wimp;among besiege;below exterior yowza
10;ugh;encumber afore;forenenst;store fixed ew
