id;bronorganisatie;datumcreatie;identificatietekening;titel
1;while;2024-05-06;overrun;sermonize excepting
2;subsidize;2024-05-06;offensively;gah
3;keeper;2024-05-05;unless highly through;below
4;ouch dueling;2024-05-05;an next;geez
5;syrup cricketer and;2024-05-05;provided;down
6;above;2024-05-06;orbit;blah never
7;mini-skirt;2024-05-06;accidentally;bashfully aha
8;dreamily physically often;2024-05-05;next;fiercely failing
9;whether drat;2024-05-05;shameful;liver granola quicker
10;who nor;2024-05-05;anti helpful fly;group
