id;drainage;gebruiksvorm;sportcomplex;sportterreintypesport;type;typeplus;veldnummer;verlicht
1;true;attach;livid;who psst how;frenetically;recognize;hmph ordinary deliberately;false
2;true;signal;hype although;next;deify;meet finally;tame daily;true
3;true;throughout;glister boohoo;given;woot truthful;zowie musty;miserably;true
4;true;wherever;scented worrisome judgementally;ignorant tremendously eek;heavily diet towards;last ultimately worshiper;oddball;true
5;true;madly;chaise;anti far beneath;where appraise certainly;merrily furthermore jewellery;beautifully over except;true
6;false;whose;afore incidentally;major;supposing valiantly plump;unhealthy on;cleverly geez;false
7;false;crossly miserable unhitch;minority;sans;amble pfft;embossing seemingly skinny;excluding yahoo pro;false
8;false;whoever on because;tax;aw ugh viciously;recklessly volunteer absent;sweetly likely;knowingly;false
9;true;intensely;hourly;once;searchingly far joyfully;qualified calmly flare;yippee apropos hubcap;false
10;true;aha rudiment brisk;down;electrocardiogram yowza zowie;lest;opposite yoke;loyally fairly estrogen;true
