id;datumstatusgezet;indicatieiaatstgezettestatus;statustoelichting
1;ack;down modulo;ah towards setback
2;hospitable onto awe;during equatorial;stag the
3;blah;thoroughly debtor;through which
4;yippee gently drat;underexpose;scarcely valiantly accuse
5;hyphenate;overcoat with blah;likewise alder
6;coruscate;greatly complete alienate;really excise
7;deeply beyond;by carefully forenenst;er
8;oh;protrude;irritably naughty
9;than;transmogrify;after propagandize legacy
10;boohoo ha;elevate;rigidly deficient with
