id;datumbegingeldigheidstatustype;datumeindegeldigheidstatustype;doorlooptijdstatus;statustypeomschrijving;statustypeomschrijvinggeneriek;statustypevolgnummer;heeft_zaaktype_id
1;upstairs gambling;notwithstanding oof what;hence;vice blemish;powerless especially;mmm wholly how;1
2;hence gadzooks;boon;evolve ugh roughly;infamous including;after tepid pill;remarkable;2
3;interlock for;strange;between;smoothly;comparison tennis showboat;ouch yippee;3
4;impressive pish;ack that;um;during hence immortalise;unexpectedly gall blah;inasmuch certificate er;4
5;hackwork;boohoo not;nor lest mmm;especially beancurd;past widen however;as minty;5
6;made-up ick awful;beside;overlooked serenade spice;exit;joyfully who;disclosure;6
7;hoarse impish;deviation;ack;yippee chargrill;sharply nonstop condition;violently aha after;7
8;because drat;patriarch;alongside how;cheery;serene oof;multicolored behind flatline;8
9;untidy from anenst;ew;junker under atheist;jostle alongside duff;fries wonderfully;aboard;9
10;growing;suppose gee normalise;next cause;unwelcome;abaft massive aha;slim how;10
