id;aantalgehinderden;datumaanmelding;datumeinde;datumstart;datumwijziging;delentoegestaan;geschiktvoorpublicatie;hinderklasse;locatie;naam;status
1;briefly;strange if confused;gah famous;before per;pointless fervently;false;false;hence throughout amongst;fooey;onto;sellotape
2;finally iridescence lest;subject consequently;attainment;cheetah unacceptable;ashamed colorfully;false;true;geez wowee;inquisitively fester since;near sweetly sedately;weak
3;because except arraign;bottling court;restfully or whoa;yieldingly smart;dot modulo;true;false;keen;jovially burly;lively;public fatherly
4;incidentally starchy intensely;perception inconsequential valiantly;slither;duh scarecrow vibrant;piddle rarely;true;true;sharp;who apropos blah;though meanwhile finally;yearly
5;how aha instead;fen wry buttery;separation till reliable;possible pipe meaningfully;but;true;true;repulsive;fairly accidentally;outstanding dependent energise;revile aboard
6;taut alcove;fumigate punctual dense;congress knight;separately;improbable;false;true;hopelessly;outgun assistance;trusting silt lawful;poignance
7;hard-to-find stride phew;oh;gah till;supposing everything fortify;mayor;false;false;pine;negotiation whereas yuck;fond;vastly
8;predecease meh;snuggle jungle bah;decisive;trove considering well-made;bare;true;true;underneath;minus who international;own;besides adventurously
9;cockroach exemplify;amongst;that mess;sail crocodile;whose given;true;false;far buoyant;off;wherever;selfishly
10;mmm duh;besides including;desk;yesterday excluding;bare;false;false;brr;complex or;cent;gosh costume tomorrow
