id;datum;maximumtemperatuur;minimumtemperatuur;tijdmaximumtemperatuur;tijdminimumtemperatuur
1;2024-05-05;beyond along pfft;monthly bridge;casino because;delicious eek gah
2;2024-05-05;vaguely lest barring;jealously readily foolhardy;alien till;bah
3;2024-05-05;watchful;frantically huzzah;aside eek although;hence
4;2024-05-06;yowza;discount tap between;shark likewise;however
5;2024-05-05;which;ironclad;gadzooks mistake woot;now
6;2024-05-06;barring tow-truck astride;ugh;repurpose;thoughtfully
7;2024-05-05;only whoa;secure imbibe;sprinkles;afore frightfully
8;2024-05-05;profitable so indeed;flashy;phooey bumpy;colorful grapple lest
9;2024-05-06;swiftly;between;disconcert;ack
10;2024-05-06;upon oh terrific;amused;quintuple;outside sourwood big
