id;geplandeinde;geplandstart;eroute;werkelijkeinde;werkelijkestart
1;hungrily meager deviate;lull barren;stable;if among remorseful;transliterate
2;crude sans;boohoo barge so;supposing aha rubberneck;disinfect ew;fairly
3;roughly;tie because;definite;pro meaningfully sink;afore for obediently
4;heavily cute tranquillize;slowly unwilling as;specialty;jovial offensive;frantically decent hmph
5;realize meanwhile;meh;outlying;cutting apud wholly;terribly pish
6;elegant phooey;wonderful opposite;ick plead misty;bleak pricey;officer
7;rudely;that eek though;yum meaningfully cycle;pfft;seldom
8;bustling milky;letter bad swift;loop frenetically;intently minus;importance whip shocking
9;tomorrow;bow archer kindly;an;yowza insubstantial;without hopelessly nor
10;hence;notwithstanding;copyright;who amid ancient;fluctuate
