id;accountantscontrole;cofinanciering;datumbehandeltermijn;datumbewaartermijn;datumeinde;datumstart;datumsubsidievaststelling;datumverzendingeindeafrekening;deadlineindiening;doelstelling;gerealiseerdeprojectkosten;hoogtesubsidie;niveau;onderwerp;ontvangenbedrag;opmerkingen;opmerkingenvoorschotten;prestatiesubsidie;socialreturnbedrag;socialreturnnagekomen;socialreturnverplichting;status;subsidiebedrag;subsidiesoort;subsidievaststellingbedrag;uitgaandesubsidie;verantwoordenop
1;highly;30741.64;2024-05-06;2024-05-05;2024-05-05;2024-05-06;2024-05-05;2024-05-05;2024-05-05;nephew cashier bravely;2024-05-05;6099.37;ouch kaleidoscopic barrage;lively;8873.88;bouncy overweight;heavily simplistic;butterfly terribly;12546.19;landform equally mixture;fizzle;pish appeal screw;272.73;able duffel indeed;10411.73;quirky frilly;2024-05-06
2;vainly fledgling incidentally;25500.73;2024-05-06;2024-05-05;2024-05-05;2024-05-05;2024-05-05;2024-05-05;2024-05-05;interferometer atop;2024-05-06;30725.51;zowie provided onto;yippee since;9852.57;gadzooks;incidentally immediately psst;jovially partially pinot;19342.53;and bossy via;up association;including;15855.15;apprehensive loyally;11022.95;rapidly blah;2024-05-06
3;tremendously;803.12;2024-05-06;2024-05-05;2024-05-05;2024-05-06;2024-05-06;2024-05-05;2024-05-05;naturally;2024-05-06;22701.03;refusal disrespect;now inasmuch;32597.39;now lest naughty;in grunt;alongside awkward as;8228.6;lively so bashfully;soggy;confute inasmuch um;13954.4;gosh wisely;14541.13;fooey aha until;2024-05-05
4;excluding suspiciously lest;8536.99;2024-05-06;2024-05-06;2024-05-06;2024-05-05;2024-05-06;2024-05-06;2024-05-06;sugary certainly since;2024-05-06;2893.08;behold industrialize;fortnight readily;4186.77;weepy before adorn;vain;fledgling;25284.66;dumbfound after ugh;near;rib;10305.52;sandy abaft;8144.08;hastily hence surprisingly;2024-05-05
5;poster wolf;8936.4;2024-05-06;2024-05-06;2024-05-05;2024-05-05;2024-05-05;2024-05-06;2024-05-06;excluding furthermore instantly;2024-05-06;29912.77;intently yet;potentially naturally;3322.53;modest ouch;unless alight library;defuse rise;28921.06;ugh before;broadly;guilty;16611.37;underneath;13483.4;wherever clean;2024-05-05
6;midst till hanker;2865.74;2024-05-05;2024-05-06;2024-05-05;2024-05-06;2024-05-06;2024-05-05;2024-05-05;what;2024-05-05;18763.02;plus aw;furthermore;25021.21;frenetically immediately;apropos because gregarious;fingerprint fold;14574.15;softly ouch yaw;yowza dental;modernize onto because;26550.21;unless which where;8290.53;gadzooks yowza;2024-05-05
7;ugh molasses;31775.2;2024-05-05;2024-05-06;2024-05-06;2024-05-05;2024-05-05;2024-05-06;2024-05-06;array sprinkle;2024-05-05;15250.93;kookily love triangular;pastor;17167.44;since excluding blah;folklore cuddly;or;25358.38;naughty dogwood limit;nor cremate hm;near;3052.28;than;12785.72;foray;2024-05-05
8;forenenst obnoxiously misquote;30966.56;2024-05-05;2024-05-05;2024-05-05;2024-05-06;2024-05-05;2024-05-06;2024-05-06;sidecar;2024-05-06;686.84;catastrophe;sesame fondly vainly;23102.23;consequently;banyan yahoo quiet;revelation admired;14461.6;yum conservation gently;plus yuck gadzooks;woodwind;1957.5;so;11894.64;attend paddle save;2024-05-05
9;utterly er swamp;4337.27;2024-05-05;2024-05-05;2024-05-06;2024-05-06;2024-05-05;2024-05-05;2024-05-05;to forenenst small;2024-05-05;10363.7;hourly;nippy;21405.96;after;trust like sheepishly;traumatic;22943.19;on following;hearty;psst intentional;10877.3;and pish;8721.19;bah reawaken purport;2024-05-06
10;abaft;391.32;2024-05-06;2024-05-06;2024-05-05;2024-05-06;2024-05-05;2024-05-06;2024-05-05;dueling apud aching;2024-05-06;1711;powerfully;tip;18556.84;that repulsive gee;funny sheepishly toward;rain oof unless;17877.03;boo saloon obsession;absentmindedly ray declaration;intelligent tripod;31737.32;incidentally;9140.27;ballot meaningfully;2024-05-06
