id;beschikkingsnummer;beschiktbedrag;besluit;internkenmerk;kenmerk;ontvangen;opmerkingen
1;lively;3472.33;mustard accent behind;for;gee false;2024-05-05;why redden pish
2;reflecting windsurf;21436.85;fooey about;whereas;poor actually;2024-05-06;verbally except
3;dip redevelop woot;7686.19;who;while knowingly zoom;devoted lest showy;2024-05-05;lord normal
4;soft;13790.59;slushy ha blah;fisherman;yahoo;2024-05-06;cleanse assume
5;round;31269.83;weakly tackle obstruct;mmm;caring zowie;2024-05-06;yet um while
6;remarry major-league possible;8105.2;cautiously enthusiastically;whoa down athwart;up unhappy whose;2024-05-05;whereas who flower
7;stimulating besides;7381.26;concerning phew;victoriously curtain;hype;2024-05-05;stiff unnatural
8;midst music-box;6475.41;stool dispatch;bank;surprise crewmate installation;2024-05-05;loosely safely
9;on;22157.3;incidentally;but;since aha until;2024-05-05;coaxingly
10;provided;12026.67;whoever whoa;bravely among;edible;2024-05-05;kiddingly wildly
