id;datumeinde;datumstart;naam;omschrijving;programmabegroting
1;2024-05-06;2024-05-06;huzzah until offensively;ultimately demobilise;30426.66
2;2024-05-06;2024-05-05;sans;jaw;15090.29
3;2024-05-06;2024-05-05;seriously obnoxiously vitamin;on hence;21446.3
4;2024-05-06;2024-05-06;at;negligee frail;28637.34
5;2024-05-06;2024-05-05;blah;so although;270.43
6;2024-05-05;2024-05-05;quaintly bashfully coolly;whether steady;21356.17
7;2024-05-06;2024-05-06;zowie;commonly underneath;30290.57
8;2024-05-05;2024-05-05;cleverly midst;snarf lute below;28608.49
9;2024-05-06;2024-05-06;obfuscate quarterly wry;astronomy dip;7164.55
10;2024-05-06;2024-05-05;team scout;unsung;13229.92
