id;bedrag;datumeinde;datumstart;eenheid;wet;heeft_voorziening_id
1;22498.33;2024-05-05;2024-05-05;unbearably although woot;when;1
2;3967.49;2024-05-05;2024-05-06;cogitate now;but off;2
3;811.8;2024-05-05;2024-05-06;pfft;gosh mundane for;3
4;30884.79;2024-05-05;2024-05-05;amid;rough;4
5;12052.83;2024-05-06;2024-05-06;politicise leafy;if eventually gently;5
6;10943.63;2024-05-06;2024-05-05;despite;bah via;6
7;15425.55;2024-05-05;2024-05-05;chaperone almost psst;resect sweetly;7
8;23794.4;2024-05-06;2024-05-05;ouch distinguish alongside;perfectly;8
9;20824.76;2024-05-06;2024-05-05;clout amortize;muddy toward;9
10;6218.49;2024-05-05;2024-05-05;scented whether;hmph countess;10
