id;code;naam;omschrijving
1;than;minus;quietly phooey
2;monthly elongation;impartial idolized;sugary
3;ew;roughly winter;anti alongside
4;er smoggy ouch;although a gallivant;envious punctual loyally
5;criticize;pollinate molasses ecstatic;smart orange
6;now minus nervously;average zowie zowie;yum but
7;however crossly understudy;beloved annual boohoo;in
8;sky forceful eek;poorly boohoo;viciously as seemingly
9;underneath;esteemed violently annually;stupendous because prime
10;expose ugh;bone belay starch;closed save
