id;datumbegingeldigheid;datumeindegeldigheid;domein;naam;omschrijving;soortaansluitpunt;toestemming
1;2024-05-05;2024-05-05;certainly wakeboard;under sage;certainly iris;annoy delimit yum;soulmate
2;2024-05-06;2024-05-06;dice;whenever;pursue past scheme;wrench after;keenly
3;2024-05-05;2024-05-05;cheap subsidence;though till;upright enraged;even indeed ick;now except
4;2024-05-06;2024-05-05;emote;afraid;till;woot;near although
5;2024-05-06;2024-05-05;emancipate;new copyright final;dry wet woot;heating acidly even;ack century whereas
6;2024-05-06;2024-05-05;certainly recast to;where so;pro perky;supposing;thoughtfully radiator
7;2024-05-05;2024-05-06;phew crushing;shakily;boo;meh wherever;along aim veterinarian
8;2024-05-05;2024-05-05;second-hand whereas;bless part;and likewise;uh-huh vagrant;beetle
9;2024-05-05;2024-05-05;unacceptable whoa;excluding since wiretap;carelessly;jaggedly;chunter
10;2024-05-06;2024-05-05;equipment of wearily;supposing impress;man ban how;accidentally;where
