id;code;commentaar;datumaanschaf;datumeindetoewijzing;datumstarttoewijzing;datumtoewijzing;eenheid;frequentie;omvang;redenwijziging;toewijzingnummer;wet
1;understated only;against release hull;2024-05-06;2024-05-06;2024-05-05;2024-05-05;sorrow;spirited however which;boohoo;unless;duh deliver;criticism silently by
2;pfft;vacant below downright;2024-05-06;2024-05-06;2024-05-05;2024-05-06;as um however;woot offensively beneficial;athwart;nurture after;although;sweet
3;punctually;envelop crazy institutionalise;2024-05-06;2024-05-05;2024-05-05;2024-05-05;ack minibus music-making;rash;televise beatboxer;big-hearted via blah;sick upward always;by
4;liquefy;boohoo;2024-05-06;2024-05-06;2024-05-06;2024-05-05;below mid ouch;vainly cartridge;phooey;timetable;yet denominator;ugh
5;report while;gripping;2024-05-05;2024-05-05;2024-05-05;2024-05-05;than meh even;gadzooks trace;disorientate meh;drat deeply against;why;lovingly
6;drat;miserably;2024-05-06;2024-05-05;2024-05-05;2024-05-06;degree viability underneath;faithfully;immediately causeway;painfully;following;ugh
7;unless poor gazunder;whereas to fold;2024-05-06;2024-05-05;2024-05-05;2024-05-06;verbally while;soak;beautifully and;furthermore gadzooks oh;meh;cheap
8;over;truthful gadzooks revolving;2024-05-05;2024-05-05;2024-05-05;2024-05-05;outstanding buzzard grateful;physical between following;against afore amidst;rim;dust;or
9;other overconfidentl;beneath hm;2024-05-06;2024-05-05;2024-05-06;2024-05-05;halloo whoever joint;purify hmph whether;wasteful briefly whether;supposing;buckle opposite;purity
10;mmm whether sermon;smug;2024-05-05;2024-05-06;2024-05-06;2024-05-05;defiantly;glistening up geez;canopy gadzooks avaricious;esteemed convene cheery;undock;harpooner panhandle familiarise
