id;datumeinde;datumstart;datumtoekenning;naam;omschrijving;resultaat;heeftresultaat_resultaat_id;heeftuitstroomreden_uitstroomreden_id
1;aha functional;intensely;yet yippee soon;across unnatural once;tragic hence knobby;above factor save;1;1
2;spite;advertise breakable;likewise because;descriptive;rich bashfully flowery;yippee scarcely;2;2
3;mostly repeatedly;oblige husky or;interestingly mortally until;flap;saddle after;whose;3;3
4;hector ale;blizzard musty midst;urgency of zebrafish;gosh including;among snoopy tower;next;4;4
5;provider destock;succor clamp;boring derivation;beyond yet;plan;pouch;5;5
6;taste;uh-huh who;minus throughout ack;macaroon;footwear defeat;trade intensely;6;6
7;unless;with;prevention courageously hallmark;speedily blank for;ah;bore vice;7;7
8;dominate;through;portly deliberately;geez;sponsorship;terribly without blindly;8;8
9;dull furthermore continually;wampum wan;down fruitful;ick;hive;stretcher;9;9
10;fire;pfft anxiously;usual um;ah as immense;gah;politely gosh;10;10
