id;datumbegingeldigheidtunneldeel;datumeindegeldigheidtunneldeel;geometrietunneldeel;identificatietunneldeel;lod_0_geometrietunneldeel;relatievehoogteliggingtunneldeel;statustunneldeel
1;2024-05-05;2024-05-05;ha;under sternly yowza;uh-huh;reproachfully though;but
2;2024-05-05;2024-05-05;hear;stupendous meanwhile;unexpectedly encase flat;but once;concuss operation feisty
3;2024-05-06;2024-05-06;and;videotape badly evolution;ha oddly;repentant;dreamily if
4;2024-05-06;2024-05-05;than except spotless;cleverly whose;massive;till now tusk;apud methodology
5;2024-05-06;2024-05-05;like afore;deviation pace the;fog thorn afore;kvetch;minus
6;2024-05-06;2024-05-05;shyly inside;failing;systematise exciting yawningly;of;sauce
7;2024-05-06;2024-05-06;while usually;lovingly;warm;paddle;salute page
8;2024-05-05;2024-05-05;which eek;tablet up so;provided concerning far-flung;hunch;and
9;2024-05-05;2024-05-05;shrilly;er;aside descriptive dangerous;around nor scavenge;unsung speedily however
10;2024-05-05;2024-05-05;nor ripe doorbell;for openly;arm noisily;aw;incidentally
