id;datumrun;frequentie;perioderun;soortrun
1;2024-05-06;why zing madly;inasmuch unexpectedl;woot too kindheartedly
2;2024-05-05;mistake usage;conventional includi;spherical knavishly but
3;2024-05-06;plump oh;explicate underpay g;blindly ah thirst
4;2024-05-06;pagan quirkily;defiantly;next
5;2024-05-06;except;mould embargo yet;reorganization courage separately
6;2024-05-05;grateful;because imperturbabl;fatally oof
7;2024-05-06;likewise before;weak heed who;likewise snowboarding detail
8;2024-05-06;so from;zowie;solemnly distorted throughout
9;2024-05-05;floss;true;attractive ew zowie
10;2024-05-05;outside wage woot;carelessly swath exc;boohoo awkward secretion
