id;naam;omschrijving;regel
1;meaningfully square furthermore;because;disrespect alter aw
2;until mediocre quirkily;organisation saving inasmuch;farrow lest
3;airbrush till polished;oof;times aha excluding
4;anenst that within;roughly failing absent;recklessly astride side
5;woot hateful;pfft undershoot screw;sugary yuck mmm
6;abide;pish moisturize;including wide before
7;meh ouch crust;inasmuch worriedly cope;times fertilise joyfully
8;fess talking;suburban;that unconscious towards
9;for reluctantly dismantle;unlike scaly delightfully;save since
10;specialize;calmly;now
