id;datumgesloten;datumopengesteld;deeltijd;extern;intern;vastedienst
1;2024-05-05;whenever;false;false;true;false
2;2024-05-05;theme feed walnut;true;false;false;true
3;2024-05-05;contract;true;true;true;true
4;2024-05-05;until;false;true;true;true
5;2024-05-06;inside;true;false;false;false
6;2024-05-06;ick yum inside;true;true;false;false
7;2024-05-05;yippee where less;false;true;false;false
8;2024-05-05;below spotless excepting;false;true;true;true
9;2024-05-05;ultimate;true;false;true;true
10;2024-05-06;yippee;true;false;false;false
