id;datumbegingeldigheid;datumeindegeldigheid;naam;valutacode
1;warmhearted phooey;winged;why once continually;generously till near
2;involve convertible;recognize;consequently;whether loving stealthily
3;endpoint however;proud decompress throughout;madly abaft on;lest
4;psst as emphasize;aboard ew at;patiently;or um
5;immunize and whenever;lifestyle;partially restroom arthur;slump kiddingly far
6;separately;lining defiantly;pfft drat amid;while meme optimistically
7;piano;accidentally;knee;jaywalk finer sedate
8;brief automaton that;oof;qua;team
9;gah wherever;flamboyant;bright unless generously;unless
10;inquisitively;beyond noisily;white;dream where
