id;datumbegingeldigheidvalutasoort;datumeindegeldigheidvalutasoort;naamvaluta;valutacode
1;2024-05-06;2024-05-06;heavily;huzzah kindly however
2;2024-05-06;2024-05-05;aw;grouchy
3;2024-05-06;2024-05-05;aggressive warp what;disguised
4;2024-05-05;2024-05-05;yahoo;yowza bookcase brilliant
5;2024-05-05;2024-05-05;sadly oscillate;amongst firsthand at
6;2024-05-06;2024-05-06;small scurry single;eek meanwhile
7;2024-05-05;2024-05-06;afore;who circa
8;2024-05-05;2024-05-05;consequently via;without
9;2024-05-06;2024-05-05;willfully if typeface;lavish whispering
10;2024-05-05;2024-05-06;advocate;accidentally
