id;beschrijving;datumeinde;datumstart;identificatie;maandbedrag;opzegtermijn;status;type
1;cook down woot;2024-05-05;2024-05-05;generous steel brr;12231.56;drat curly negative;curiously highly;sketch nurse suspicious
2;along;2024-05-05;2024-05-06;triumphantly;11461.51;aside stylus;hastily;indeed poorly info
3;excepting righteously now;2024-05-05;2024-05-06;nicely yippee reproachfully;27413;yowza orphan;buck;mold whoa as
4;per atop;2024-05-05;2024-05-05;bright limb;10206.71;crossly annually prevail;for other mod;heist
5;ha;2024-05-05;2024-05-05;phew down predetermine;25027.15;ew;furthermore once;fortunately thoroughly mainstream
6;whose meanwhile yuck;2024-05-05;2024-05-05;per;26572.29;sans stab;famously or;physically
7;provided opposite;2024-05-05;2024-05-06;anaesthetize by;9935.15;down leprosy;a certify;hollow instead realistic
8;next;2024-05-06;2024-05-06;why;14370.26;leap doubtfully whenever;free iron worse;yippee
9;beggar enlightened;2024-05-05;2024-05-05;er meanwhile gaseous;29213.41;astride uh-huh peppery;ouch beside inasmuch;jumpy er
10;athwart below;2024-05-05;2024-05-05;attribute;28622.85;gosh;come pfft;pfft
