id;aantaletages;aantalparkeerplaatsen;aantalrioleringen;adresaanduiding;afgekochteerfpacht;afgesprokenconditiescore;afkoopwaarde;asbestrapportageaanwezig;bedragaankoop;bestemmingsplan;boekwaarde;bouwjaar;bouwwerk;bovenliggendniveau;bovenliggendniveaucode;brutovloeroppervlakte;co_2_uitstoot;conditiescore;datumafstoten;datumberekeningoppervlak;datumeigendom;datumverkoop;deelportefeuille;energiekosten;energielabel;energieverbruik;fiscalewaarde;foto;gearchiveerd;herbouwwaarde;hoofdstuk;identificatie;jaarlaatsterenovatie;locatie;marktwaarde;monument;naam;eobjectstatus;eobjectstatuscode;eobjecttype;eobjecttypecode;omschrijving;onderhoudscategorie;oppervlaktekantoor;portefeuille;portefeuillecode;provincie;toelichting;verhuurbaarvloeroppervlak;verkoopbaarheid;verkoopbedrag;verzekerdewaarde;waardegrond;waardeopstal;wijk;wozwaarde
1;cautiously drat muzzle;yowza;oh;beautify sitar;carbonize;worse;13215.89;zowie hastily;24024.76;tame detail;8044.64;unlike hm whether;except;plus;inasmuch inlay;above peak;finally postbox;lucky amidst reservoir;2024-05-05;2024-05-06;2024-05-05;2024-05-06;plus stiff pish;20565.88;ha penny upon;athwart phooey;7228.04;shyly shrilly;whose;5450.7;voluntarily handover drat;picnic lumbering absent;via;ew oh trigger;17416.81;er possibility shrill;wimp irritably than;casket;candy;proximity ick yawl;nervously awkward;threadbare;joshingly;next abnormally proofread;with at;bah pitiful continually;cousin wherever;trapezium watery where;drink;skirt;5392.86;32466.13;29075.49;5355.92;ah ah;28109.55
2;waistband ugh;querulous;if;pressurise lest burly;yet exotic;however;8961.94;yippee abaft;3759;violet rhythm lumbering;32323.28;meh white than;ouch or;with car;where handlebar;truly stealthily oh;yuck patiently;limply;2024-05-05;2024-05-06;2024-05-06;2024-05-06;boo outside incidentally;16146.61;thankful and;yearly formal enormously;30233.29;deceivingly across wherever;blah duh;28153.13;blaring bah geez;ugh uniform troubleshoot;once;incidentally whoa;23286.04;um;in speedy suddenly;ha amongst;circular sultan;cummerbund hug er;outside;rivulet;pare modulo knowingly;emphasise mmm for;overstay;needily;unexpectedly;ferociously;stylish cure solemnly;short-term;13625.57;3755.61;4314.74;27146.95;damp;4442.46
3;background;fond but;candidacy unbearably;excitable failing goodness;recruit readily;titter;6039.59;porter enthusiastically barring;29832.11;outline;24196.08;exhaust;sternly;regress through unethically;sleepy gosh qua;made-up reunion;reintroduce stability yippee;even yesterday;2024-05-06;2024-05-05;2024-05-05;2024-05-06;bite mostly;27063.47;feisty eek;amidst;1840.92;instead circa verbally;so;13306.81;packaging millennium excluding;meaty ugh progenitor;mmm usage pine;traumatic excepting;10553.41;moonlight;electroplate inasmuch;job hacksaw;rate whenever dimly;healthily blah;correctly tan waddle;unless;wordy;yowza wrong;suddenly kindly;worthwhile tattered southeast;subdued only;till;aside;delve without;20142.86;8785.85;16038.07;11240.19;palm bridle;4068.28
4;what let showy;slowly;beyond circa;recipe fooey;parameter absent;blind mobility in;22597.94;pfft consequently;18752.76;intermix unaccountably within;11886.18;leaf wherever;flag dessert;seat ack;among;unabashedly return;shear anenst drainage;delayed phooey whoa;2024-05-06;2024-05-05;2024-05-06;2024-05-05;adrenaline gadzooks incinerate;11660.78;sparerib between;openly subsection;14312.61;previous photograph;inculcate;25759.74;legal;hospitable boo lest;so shimmering;proof;14223.18;consequently sure-footed apropos;where;bitterly clearly;furthermore;sans;rightfully;enlightened whoever within;phooey encamp communist;er;athwart;experienced;whoever when;ah piddle profess;timely;duh lest aspect;8771.68;11433.33;31906.36;6115.92;jury gosh;5146.06
5;sans wary vice;anenst;sans meatloaf vaguely;board mmm before;beyond distinct polenta;vice yahoo;18026.51;ugh;29328.42;ick merit ugh;28407.97;while notwithstanding off;rope;nylon;now ha besides;sharply mathematics unusual;providence;resort;2024-05-05;2024-05-05;2024-05-06;2024-05-05;hmph theft why;23346;lambast pfft likely;playfully less value;24915.8;mutilate;cousin;24195.09;beside fairly;frankly;queasily;inside ignorant suet;15172.9;woman;jumble;slobber;if for phew;among fuzzy well-documented;rush by;brazen boo;off;voluntarily aha;inhere because;whether justly;keenly since circa;uniformity late;before before;ew daily;3739.48;27837.54;6294.66;23423.66;vagrant except;17864.83
6;made-up guilt;hmph astride;fiercely;kissingly;loudly;slump except;3777.88;among beautiful;10451.54;ick enthusiastically;21897.71;per;very;ring present blaspheme;inquisitively cornet;ah zowie;bloom afore qua;caring yuck although;2024-05-06;2024-05-05;2024-05-05;2024-05-05;punctually destination tongue;22126.94;er;decent;19143.64;hype apropos;computerise within whoever;28416.43;outrank maintain realise;after um;till eek hmph;laboratory bitterly;7786.66;irritating;gadzooks;yum;recklessly whitewash meh;after close sternly;till;vain amazement loftily;insectarium wherever reward;than glittering;absentmindedly jubilant;humanise inspire eek;for sough;duh cloudy striped;second meh;well-off;25509.88;17913.75;14111.21;26208.49;till;1657.31
7;transplantation threadbare;down yummy hearty;on;male;slacken;fortunate shore pish;28743.96;gigantic ouch oh;18573.86;torte;5441.3;however;curtain administration through;jaggedly mid despite;loftily abnormally;half-brother;painfully showy;ack pish;2024-05-06;2024-05-06;2024-05-06;2024-05-05;woot shift;4323.17;nor roughly midst;distorted phooey;27521.97;emu;gosh;8536.69;smoothly upwardly fan;where caterwaul;sweetly;nervous;26236.24;silky qua made-up;ew unlike taxi;gah;um;underpin itchy;postulate wherever;yahoo whereas boldly;sentimental spark daintily;instead instead;or;meh altruistic ouch;plus woot eek;headache;surpass uh-huh;with mysteriously;10702.07;30487.56;28694.56;12048.54;only but;195.08
8;on out;yippee hidden ha;aha pace;ew;begrudge cuddly;beside whenever;18306.52;gee;24144.85;and accumulate remand;7830.21;next;bah including;alongside but till;dirndl wild gosh;forsaken bashfully;qua for;darling anxiously before;2024-05-06;2024-05-05;2024-05-06;2024-05-06;vainly traipse ugh;2172.38;feminine;whose throw;17113.55;abaft;yellow;6661.35;conventional;down;brisk;responsible psst;28816.84;nor searchingly;despite flippant heavy;madly wherever;coin insurrection;rag;behold;faithful;dependable;tomorrow;psst string;politely blissfully;after towards;ouch after;sunday while;impressionable over;10406.87;9281.61;30080.04;11502.84;crossly painfully;26583.85
9;retreat;and solidly await;surprisingly;bah beneath indeed;wetly;after;12673.92;through;3996.46;straddle;18327.16;ugh;smart underneath cheerful;crewmate questioningly stake;save nearly;provided supposing ouch;wet lest apud;unsteady;2024-05-05;2024-05-06;2024-05-05;2024-05-05;inwardly where carefully;3326.97;trail;against;2531.39;opossum;for;10383.96;unwieldy which;following crossly cushion;and into loosely;manufacturing drink;2822.81;astride deliberately;substantial;outside prime;wherever;cruelly;white barring bisect;sweetly neatly aw;elaborate fedelini partnership;blah ugh;if excluding;but uh-huh;speedy;aside cape;hungrily daintily;skinny titrate savior;3310.97;5930.23;23049.38;11856.79;queasily afore vice;20873.97
10;searchingly voluntarily;gah occasional ha;remarkable;say meanwhile;duh;rewire that;9146.83;anesthesiology jovially;25167;blemish;22106.97;sniff now;bidding;the;bah;win;what under;and narrative where;2024-05-05;2024-05-05;2024-05-06;2024-05-06;consequently;32525.55;disastrous jam-packed;gah;20822.46;unless;popularise;28955.93;now gosh;frightfully;personal treasure less;granular sociable darling;5046.23;for softly;lavish retreat;as proceed;yippee;sympathetically;hydroxyl;when hark sundial;vibrissae;nor bend gosh;psst curry;but;anenst than;round whoever;worth;whirring granny vainly;25264.08;16504.7;9981.48;2587.93;glass ew mmm;12507.55
