id;aanduidingverblijfstitel;datumbegin;datumeinde;datumopname;datumbegingeldigheidverblijfstitel;verblijfstitelcode
1;highly;2024-05-06;2024-05-05;2024-05-05;2024-05-05;glamorous
2;outside;2024-05-05;2024-05-06;2024-05-06;2024-05-05;so
3;referee;2024-05-05;2024-05-06;2024-05-05;2024-05-06;blazon
4;phooey;2024-05-05;2024-05-05;2024-05-05;2024-05-05;doubtfully acrobatic ouch
5;geez;2024-05-05;2024-05-06;2024-05-05;2024-05-05;honorable indeed
6;mmm bah;2024-05-05;2024-05-05;2024-05-05;2024-05-06;comport
7;opposite through;2024-05-05;2024-05-06;2024-05-06;2024-05-06;digest boo
8;for;2024-05-06;2024-05-06;2024-05-05;2024-05-05;woot quirky although
9;geez fatten;2024-05-05;2024-05-05;2024-05-06;2024-05-05;anti
10;donation initialize a;2024-05-06;2024-05-05;2024-05-05;2024-05-06;where suddenly
