id;eindtijd;locatie;starttijd;titel
1;appertain duh apropos;grill;mercerize;perceive sternly
2;appearance equally;cube firm;oof yippee;tourist within but
3;transfix furthermore;tattered um exalted;meh;amid up
4;minus hearty;encouragement;eek joyfully whimsical;excluding woot
5;who aboard likewise;to register likable;cloves;joust
6;quip sicken;pfft edit liar;along;willfully
7;consequently;pro limping incidentally;willow;preset quail
8;arrogantly trail;decentralise responsible stumble;pomegranate;near negligible
9;overdose unless;bleach;unaccountably hopeful although;organize
10;aw forenenst attack;warlike besides fooey;hospitable wildly wherever;eek unless plop
