id;datumaanvraag;datumtijdeinde;datumtijdstart;datumtoekenning;goedgekeurd
1;2024-05-06;once submitter finally;yippee experienced;2024-05-06;false
2;2024-05-06;of slight;hmph;2024-05-06;false
3;2024-05-06;staid yuck;however like;2024-05-05;false
4;2024-05-06;restructuring grateful;wear disengagement;2024-05-06;false
5;2024-05-06;for yum geez;um phooey whoever;2024-05-05;false
6;2024-05-06;during upon;gorgeous pish;2024-05-05;false
7;2024-05-05;notwithstanding;unnaturally unlike;2024-05-06;true
8;2024-05-06;astride bud;ew honored;2024-05-06;true
9;2024-05-06;though arctic until;yowza ill-informed slash;2024-05-05;false
10;2024-05-05;briefly bootleg serene;too even;2024-05-06;false
