id;budgetsoort;budgetsoortgroep;einddatumgepland;feitelijkeeinddatum;jaar;periodiciteit;verplichtingsoort
1;rarely perch helpless;undersell;inauguration occur wherever;fully bedroom;flash productive;fooey;than
2;stem;apud;though;psst;slimy conviction;gee yuck;after precious
3;suggestion;restaurant clear-cut spectacles;picturize;justly;ferociously even;exactly;indeed brr optimist
4;membership ouch;demoralize impeccable;rigidly;indeed thread;doom curly;threshold genuine gee;tender
5;worldly;anonymize;interlace flock consequently;though maize;under per;considerate;frankly mmm
6;taxicab publicize;pannier oh industrialisation;daily if varnish;ground blah surprisingly;yet compartmentalise;while where versus;spur
7;a if;attenuation;before seemingly eager;upon cascade;reply;gadzooks knowledgeable fantastic;oof harvest
8;conquer foolhardy;decimal;pipe upon;off letterbox;yum outback nor;scarily;since
9;so;circa defiantly;stockpile;or;officially;than flight;past
10;wherever sharp guilty;straddle;anxiously enrich;of nor;fortunately readdress;even prevent below;rubbery siege vernacular
