id;beschikkingsnummer;commentaar;datumeindetoewijzing;datumingangbeschikking;datumingangtoewijzing;datumontvangst;eenheid;frequentie;raamcontract;referentieaanbieder;soortverwijzer;verwijzer;volume
1;marines;pick excise;2024-05-05;2024-05-06;2024-05-05;2024-05-05;lively why;anti;false;yowza;warm;dither;harmless incidentally
2;tangible animate yippee;tough;2024-05-05;2024-05-05;2024-05-06;2024-05-06;since brave asterisk;brightly;true;who rank;tech;bushwhack;selfishly
3;above anenst;unto past chick;2024-05-05;2024-05-06;2024-05-05;2024-05-05;exclude with;saffron yesterday pullulate;true;at fooey snaggle;ack brightly;quaint fervently knowledgeably;after boo
4;start;nightmare;2024-05-05;2024-05-05;2024-05-05;2024-05-06;acid;capitulation phooey;true;yippee or;whoever;off urge fumigate;yowza anenst weekly
5;likewise;overcharge lazily;2024-05-05;2024-05-05;2024-05-06;2024-05-05;tangible boo;or if er;true;gah fully intuition;patriot pish excluding;unless weakly;bitterly gleefully really
6;violence even;well;2024-05-05;2024-05-06;2024-05-06;2024-05-05;relive dimly;annual;false;halloo;meh deodorant;soon;enraged blockade throughout
7;lovable consequently rude;in only;2024-05-05;2024-05-06;2024-05-05;2024-05-06;grouchy without huzzah;woodland lanky however;true;extrapolate nautical;boohoo when whose;ack playfully;sousaphone
8;kiddingly;duh practical;2024-05-05;2024-05-05;2024-05-05;2024-05-06;boon dope ship;knottily amidst inside;false;checkout yearningly;drat as;victorious;ouch step
9;treasure;metallic prize;2024-05-06;2024-05-06;2024-05-06;2024-05-06;before midst;kit;false;violently;until brr when;set;reassuringly querulous up
10;drat big ew;forestry;2024-05-06;2024-05-06;2024-05-05;2024-05-05;knobby;fancy slide with;false;excluding bottleful propel;pro;forenenst;strictly
