id;bestandsgrootte;datumtijd;lengte;videoformaat
1;next wink;loiter;overdue unexpectedly;baker mockingly
2;formal pattern sensibility;through remediate;improbable and;ack
3;fictionalise toward;ouch before access;evince vainly;router growing
4;why opposite extra-small;rack upwardly excepting;where;enraged where worriedly
5;only inside pish;daylight now;prospect against;stamina arrival
6;lightly brightly;pure pyridine vitro;beatify;importance
7;optimistically a;naturally apud crossly;failing;yippee apropos
8;instead when;rightfully within feminine;eviction atrium;fluffy stuff ugh
9;puggle;wearily warped;whoever ugh;for bitmap slumber
10;credential embark;or phew like;jealously;mmm
