id;detectieverkeer;eindegroen;snelheid;startgroen;tijdstip;verkeerwilgroen;wachttijd
1;coerce lest;true;nephew hmph antibody;true;new;false;shape by
2;psst hand;false;the before circa;false;quizzical astride smoothly;false;worthless what duh
3;shrilly advertising;false;potter;false;shoulder and unlike;true;lobby hopelessly keen
4;provided regarding;true;gah clam;false;crooked near;false;uh-huh
5;underneath;true;new till knottily;false;sandy before;true;that pure though
6;punctual;false;dedication besides;true;worrisome;true;tattle
7;mull tremendously pigeon;false;if;false;objectify transit likewise;false;infamous unselfish tamper
8;debut by scarily;true;like hmph;true;housework aw when;true;fondue
9;politely;false;crush;true;highly wherever likewise;true;fortunate
10;positively meatloaf;false;skimp hectare;true;timely energetic;false;underneath mall
