id;kenteken;kleur;land;merk;type
1;once recklessly;mitigate silo questioningly;outlying outfit now;shadow that;buffet crossly
2;to;finally;male purple;buzzing whoa;wink
3;fiercely;amendment menacing quicker;entail over yum;black inasmuch;so harmony
4;yuck yearningly annually;tight;punctually bucketful how;joshingly inverse oof;as of
5;aha anti forenenst;supposing boohoo pro;howard aha;consequently;inasmuch pro
6;anenst;crossly construct ugh;immense questionably;justly instead;versus while caring
7;wedge wicked;reproachfully;wordy astride yahoo;deceivingly;amount greedily
8;expound;bud measly;because who rubbery;big-hearted whoever that;toward until than
9;exactly;unnaturally remand zowie;incidentally intensely;upbeat;third unto off
10;including brr or;fluffy as but;tragic deploy;teem violently term;peaceful
