id;code;naam;omschrijving;productcategorie;productcategoriecode;productcode;wet
1;pish domesticate;sip;owlishly;below hence psst;honestly;bravely;sleepily wherever
2;delectable;gah;who;along;tidy who valid;whenever;wholly
3;studio second-hand;generously contest;tassel magnify;victoriously;since;round;rubbery whoa against
4;sandy;versus;shakily inasmuch uh-huh;across if alongside;satire trawl;hound but;ack pollutant gosh
5;greedily;crab whereas commercial;about allergist that;down;coaxingly;vastly murky vice;floor
6;nearly gladly before;oval afore cajole;because converse daily;hip;caper during athwart;boastfully unhappy;skitter
7;pish ugh;chauffeur;wherever;and;worthwhile misrepresentation kohlrabi;ah;gadzooks meanwhile
8;under constant throughout;white;stash;to ew;a;pace yippee how;ugh
9;ew phew zowie;supposing meanwhile if;annual though;snuck;tolerate noisy;whoa mobile tomorrow;valiantly per hmph
10;except tenderly homeschool;consequently inasmuch scarcely;encyclopedia monthly save;excepting magic;scientific puzzle until;merrily wild shoot;versus edible sweetly
