id;aanvraagtoegekend;buitenlandseschoollocatie;datumeinde;datumstart;verzuimsoort
1;false;councilor whoa diligent;2024-05-06;2024-05-06;some whenever script
2;false;compassion;2024-05-05;2024-05-05;diligently diction grit
3;true;research hole;2024-05-05;2024-05-06;significance
4;false;amidst winding;2024-05-05;2024-05-05;markup robin arrogate
5;true;next highly;2024-05-06;2024-05-05;without unless as
6;false;carp to offensively;2024-05-05;2024-05-06;arrogantly impossible after
7;false;regarding kissingly forenenst;2024-05-06;2024-05-06;guitarist perk
8;true;booklet deteriorate;2024-05-06;2024-05-05;slowly clank wherever
9;true;jubilantly;2024-05-05;2024-05-05;precision yowza judgementally
10;true;pep;2024-05-06;2024-05-05;windscreen even
