id;behandelaar;bevoegdgezag;prioritering;teambehandelaar;uitvoerendeinstantie;verkamering
1;frankly near;since;daintily if heap;qua excepting jam-pa;that incidentally minus;gondola
2;even longingly comfo;urge;continually;intensely;misty;increase unemployment
3;blah;which occur till;measly;usually;square paltry;happy-go-lucky bah
4;phew testy porcelain;now weakly;gosh;aha mmm yippee;wan gifted;duh
5;pfft whether;when;sweet admire;amid judgment bah;hollow upon however;blah whose
6;wholly;or concerning unnaturally;though oof;drat skeletal though;taste;utterly
7;over;considering although to;cool how gah;upstairs urban timba;good engrave leader;any kookily never
8;cocoon so;ouch which upset;for;merrily ew;hence merge;rightfully blissfully
9;strictly ha refuel;breadcrumb as foolishly;alive;nor;interestingly;interestingly underneath
10;academics who;ash dam;behind;broadly now blissful;puzzling;squiggly
