id;bouwkosten;olonummer;omschrijving;projectkosten;registratienummer
1;4033.75;expectancy wilt marketplace;duh banana whereas;30694.71;via thankfully complicated
2;18003.76;or pour;oh incidentally loyal;1419.94;muster
3;5518.13;mortally ugh;assemble number;6756.6;every drat sturdy
4;20094.42;sympathetically indeed;dearly an;27743.05;shackle pretest
5;18996.93;antling but excepting;free okra gauge;6401.8;gosh fairly reconstitute
6;65.46;regularly harp different;until;3492.12;pear cosset
7;32504.18;bar during;cause;31409.1;untidy ah furthermore
8;18640.93;wherever pro coconut;dizzy finally;17911.65;aw but
9;28685.21;retail officially journalist;unto into;5758.73;in phooey walker
10;8952.09;fillet;awkwardly hm gadzooks;25384.52;ultimately
