id;datumbegingeldigheidwaterdeel;datumeindegeldigheidwaterdeel;geometriewaterdeel;identificatiewaterdeel;plustypewaterdeel;relatievehoogteliggingwaterdeel;statuswaterdeel;typewaterdeel
1;2024-05-06;2024-05-06;although fibre;and;so;lounge whereas;victoriously;magic opposite whereas
2;2024-05-05;2024-05-06;klutzy;pinot;er er;wait although;elapse aw uh-huh;incense loftily how
3;2024-05-05;2024-05-06;brr;through;thunderhead which beautifully;within;hefty pish dragon;consist vaulting
4;2024-05-06;2024-05-05;outside that;unimpressively;emphasis;tattered;grouchy;bah gigantism after
5;2024-05-06;2024-05-06;next;officially televise lest;sweatshirt;vain spar;dissonance ack;tight sick
6;2024-05-06;2024-05-05;stark hmph furiously;and;meanwhile barrage antedate;yowza;blah;inside ugh
7;2024-05-05;2024-05-06;drab;terrorise dreamily seldom;sans which now;phew legislature pastel;yowza tan ick;broadcast
8;2024-05-06;2024-05-06;yet professional provided;save;um;honestly round;yippee;yippee aha ambience
9;2024-05-05;2024-05-05;sleepily hence regularly;stroll;onto outlaw;against and beyond;miserably itchy hm;though quantify genie
10;2024-05-06;2024-05-05;mushy helium;consequently;spiderling;collateral;so word turmeric;displease job bucket
