id;aantalfulltimemannen;aantalfulltimevrouwen;aantalparttimemannen;aantalparttimevrouwen;grootteklasse
1;ew;vice likely atop;yum;since;tenderly so
2;peep;yippee always eek;tightly;whenever boohoo;jaggedly opposite
3;consequently fiercely milk;instead confused perfectly;eek;underpants though bivouac;subcontractor
4;interestingly likely;deepen;instead like;outside patent;repel divine victoriously
5;gadzooks ouch;pertinent;indeed target;naive scarily counselling;whether whereas mortally
6;noisily;whenever;garage;petty;whoever
7;radiator southeast twins;far-flung;inequality absent comprehension;loyally;depth
8;likewise blah;yuck watchful earrings;compass secondary ouch;first toga;separately pfft noteworthy
9;given surpass;observation ack;dimly;probable into;vicinity jagged
10;rumour;er read;male cash;schedule;whether near
