id;code;documentnummer;naam;omschrijving;werkordertype
1;surprisingly toward ;hence that;down knowing;silently seldom throughout;um know-how
2;until furthermore vi;inculcate;pro since;cria;usually procurement boo
3;arrogantly brush phe;inasmuch wave enrage;different perfectly;how;intensity empty
4;shootdown;ack worth;keenly blah;apud suborn beyond;overconfidently gel uncover
5;bloat;hmph cocoon;worth until;bone;chargrill yowza
6;to;gosh anti lean;indeed;after rifle;the carboxyl
7;um ack;drug;yum;nervously brief which;toot overshoot
8;hosiery lumbering;warped polish qua;last silently lope;ah worth;major probe estuary
9;tranquillize quirkil;however supposing nearly;well-groomed opportunist;ack;joshingly
10;near;excitedly;self-reliant;helpfully flop;chubby
