id;datumbegingeldigheid;datumeinde;datumeindegeldigheid;datumingang;geconstateerd;geometrie;identificatie;inonderzoek;status;versie;wijkcode;wijknaam
1;2024-05-06;in coin atheist;2024-05-05;2024-05-05;false;down anesthetize;geez dismal;true;unknown abaft;coarsen;until far-flung;conclude eardrum
2;2024-05-06;likewise upliftingly;2024-05-06;2024-05-05;true;cleverly juice;smoke woot vivaciously;false;via whoa;without dollar harbour;eyeglasses;swish plus
3;2024-05-05;politely;2024-05-06;2024-05-05;true;despite how;ew after;true;icy quit booklet;hm institute;as which glider;icecream excepting merrily
4;2024-05-06;if;2024-05-05;2024-05-06;true;where;cavernous;false;yaw;or;swivel or;majestically
5;2024-05-06;deceive vice;2024-05-06;2024-05-05;true;than;incentivize till spacing;true;ah;quixotic;however safely oof;border proponent
6;2024-05-05;envy stylish numb;2024-05-06;2024-05-06;false;secularise where reassuringly;crazy sashay vainly;false;an;blah nor inasmuch;succumb grab-bag;via keenly
7;2024-05-05;blackness indeed;2024-05-05;2024-05-06;false;gold;partnership than storage;true;brr transcript;geez near compassionate;circa brown foot;hamster weasel
8;2024-05-05;lest;2024-05-05;2024-05-06;false;hideous cenotaph;wary;true;beneath;almost if;though bleakly;breakable as
9;2024-05-05;underneath gadzooks ajar;2024-05-06;2024-05-05;false;of;whose frenetically improvise;false;graphic;fetus;list oh close;patiently
10;2024-05-06;handful huzzah;2024-05-06;2024-05-05;false;than woot;sitar gosling as;true;after ugh;alongside colonial and;dragoon envelope;jubilantly earnest standardise
