id;aantal;aantalinbestelling;datumleveringbestelling;locatie
1;quickly now nix;plus condescend;2024-05-06;simplistic but
2;what dreamily;sinuosity yet overlooked;2024-05-05;dungarees solid
3;inasmuch useless upon;blind failing;2024-05-05;pan peaceful energetically
4;mechanically;brr;2024-05-05;whoa illustrious or
5;overconfidently during measurement;towards butler;2024-05-05;whispering yahoo
6;weakly phew;circa after gullible;2024-05-06;until torch
7;highball;arrogantly;2024-05-05;geez
8;bother;bitterly;2024-05-06;warm
9;crushing above;atop finally;2024-05-05;cob pertinent
10;ick aw;picturise;2024-05-05;yelp great indeed
