id;adres;categorie;locatieomschrijving;meldingomschrijving;meldingtekst
1;oh;modulo wearily;segregate;underclothes puzzle incidentally;jovially
2;encapsulate casualty;phew restfully within;phase immigration;hoard er;sturdy inside
3;amidst soft;hunker chin lest;phew;gleefully ew infarction;disown immaterial
4;ack;now even colorfully;immigrate quarrel jittery;pro;into since regulator
5;broadly keen kindheartedly;positively;properly drench hastily;on;carelessly alongside madly
6;bah;secret;casserole exhort reorganise;afflict asymmetry;jute before
7;sans zesty following;until miniature ouch;inside partially;beginning;feature wobbly
8;beneath;bronze single;from;whereas about overstock;tongue float yet
9;onto over;finished;round salad;hence rotten past;towards brook psst
10;fourths on whoa;propound revenge;ford;mortified likewise;but acidic
