id;codewozdeelobject;datumbegingeldigheiddeelobject;datumeindegeldigheiddeelobject;statuswozdeelobject;wozdeelobjectnummer
1;per;2024-05-06;2024-05-05;that;remote along which
2;cheerful inasmuch;2024-05-05;2024-05-06;hastily;yippee thrift
3;flour brr large;2024-05-05;2024-05-05;delightfully stomp;acknowledge yahoo behind
4;exactly sternly;2024-05-05;2024-05-05;cautiously;blushing but
5;likely victorious;2024-05-05;2024-05-06;weak;wonderfully
6;properly;2024-05-06;2024-05-06;foolish;aha grouch knottily
7;nervously er;2024-05-05;2024-05-05;boo;overplay wherever
8;circa speedily elicit;2024-05-05;2024-05-06;sandy delightful;out ah
9;knottily cleverly;2024-05-05;2024-05-06;chamber amid;wherever
10;upbeat;2024-05-06;2024-05-06;chrysalis driving;oh psst where
