id;datumbegingeldigheiddeelojectcode;datumeindegeldigheiddeelobjectcode;deelobjectcode;naamdeelobjectcode
1;2024-05-06;2024-05-05;chill;until sibling
2;2024-05-05;2024-05-05;phooey aboard;wend frolic complain
3;2024-05-06;2024-05-06;yowza;ultimately
4;2024-05-05;2024-05-05;outside ah;unless
5;2024-05-06;2024-05-06;majestically finally suspension;conduct litigate
6;2024-05-06;2024-05-05;baseboard likewise nonstop;mow aha
7;2024-05-05;2024-05-05;macadamia;gah gadzooks
8;2024-05-05;2024-05-05;bah when hidden;ew until reverse
9;2024-05-06;2024-05-06;urgently;round dangerous than
10;2024-05-05;2024-05-06;migration;kissingly meanwhile
