id;empty;datumbegingeldigheidwozobject;datumeindegeldigheidwozobject;datumwaardepeiling;gebruikscode;geometriewozobject;grondoppervlakte;soortobjectcode;statuswozobject;vastgesteldewaarde;wozobjectnummer
1;dramatic since;2024-05-05;2024-05-06;2024-05-05;misuse;rehearse thermals;gosh;and house;transit child joyously;aw;monitoring
2;meanwhile;2024-05-06;2024-05-06;2024-05-06;lovable grubby;bombard scoop;about unnecessarily;now compensate;hm youthfully offering;radiant hospitable;by minor
3;insurrection with;2024-05-06;2024-05-05;2024-05-05;till nearly;harmonious;even;opposite;uplift;drip;affectionate veer
4;lest;2024-05-05;2024-05-05;2024-05-05;zowie usefully from;kohlrabi drip aggravating;boo;quirkily prize sedately;woot vinegar cheerfully;oof neglect cobble;sharp vainly phooey
5;powerfully;2024-05-05;2024-05-05;2024-05-05;exile;beneath prosper;athwart definitive within;frantically;meanwhile;gah save pfft;canon
6;exalted;2024-05-05;2024-05-06;2024-05-05;zowie;succotash multiply;spry;outsmart whenever sternly;unless;fake award mill;parse before
7;supposing theorize geez;2024-05-06;2024-05-06;2024-05-05;squiggly;redesign;before elephant;evergreen;miserly;hurl blah;supposing schnitzel
8;where;2024-05-05;2024-05-05;2024-05-05;greatly;likewise;mellow sniveling;sunny;hm whereas;modest however drag;cheerfully
9;afore through;2024-05-05;2024-05-05;2024-05-06;magnificent naive serene;since direction;eek trellis igloo;unlucky bereave;bliss unimpressively;if known;officially sleek target
10;graphic anti what;2024-05-05;2024-05-05;2024-05-06;space about timely;against numismatist how;throughout ready or;mention oof sophisticated;questioningly;pervert yowl;zen gadzooks facsimile
