id;datumpeilingtoestand;datumwaardepeiling;statusbeschikking;vastgesteldewaarde
1;2024-05-05;2024-05-05;wilderness;obediently
2;2024-05-06;2024-05-05;crook famously wherever;alongside
3;2024-05-06;2024-05-05;ugh boohoo;knottily waterwheel
4;2024-05-06;2024-05-05;dip prance;eek
5;2024-05-05;2024-05-05;from;ick glossy psst
6;2024-05-06;2024-05-05;victoriously;planning er indeed
7;2024-05-06;2024-05-05;repeat injure;spangle profit
8;2024-05-06;2024-05-05;till blah data;spelling
9;2024-05-06;2024-05-05;nor gummy;geez yahoo retreat
10;2024-05-06;2024-05-06;electric blog furthermore;quaintly
