id;capaciteit;naam;nummer;omschrijving
1;cleverly;as wow brr;about before;provided
2;which dehydrate blissfully;blissfully;excluding anenst;supposing where including
3;intercept athletic;deconsecrate roughly boohoo;yippee;mortar
4;meh immigrate tired;softly about;even;ecclesia
5;than rear;bewitched inculcate;what pish following;blah
6;means politely;lowball and inasmuch;key revelation under;macro go-kart
7;ha hoon;cucumber atop;an perceive;polished ouch than
8;strong jealously jumbo;separately temperature;consequently since;including
9;palatalize flashy;meh bah;blackbird a out;minus roster root
10;airman scurry;far;far consequently;diligently
