id;datumeinde;datumstart;kosten;soort
1;2024-05-05;2024-05-05;14691.62;insomnia supposing suffocate
2;2024-05-05;2024-05-05;1159.41;from
3;2024-05-06;2024-05-06;10911.89;next contain
4;2024-05-05;2024-05-05;23445.89;floodlight yum annihilate
5;2024-05-05;2024-05-06;25319.51;fiber dislike
6;2024-05-06;2024-05-06;302.92;where gee
7;2024-05-06;2024-05-05;682.57;phew
8;2024-05-06;2024-05-05;29730.21;wicked fell extroverted
9;2024-05-06;2024-05-06;32687.31;including
10;2024-05-06;2024-05-05;19592.18;whether
