id;datumeindegeldigheid;datumstartgeldigheid;naam;omschrijving
1;aha;absentmindedly besides aside;flush uh-huh gee;thanks outfox
2;how;into lovable step-son;daintily tensely while;boo
3;blah which numb;around;a;stable downright since
4;obediently;vex;cordon;against for
5;oh become legitimate;biodegrade;gah plunger mineshaft;actualise
6;imaginative;urban although;hm;flippant
7;wretched gee;enormously;timer yippee;long
8;except classic;bleakly crossly profitable;eve furthermore serum;dictionary
9;steep who;uh-huh;placement reflate;eyestrain atop upwardly
10;lacquerware conscious in;yet promptly violent;winged boring;sympathetically vacantly
